Brand,Caliber,Grain,Description,BC
Nosler,.375 Cal,260,Accubond,0.465
PMC,.30-06 Sprg,150,Power-Point,
PMC,.308 Win,150,Power-Point,
PMC,.300 Win Mag,180,Power-Point,
PMP,.223 Rem,55,FJBT,
PMP,.30-06 Sprg,150,SPRG,
PMP,.380 Auto,95,Full Jacket,
PMP,.38 Special,158,FMJ,
PPU,.22 Hornet,45,SP,
PPU,.223 Rem,55,FMJ,
PPU,.223 Rem,55,SP,
PPU,.243 Win,100,SP,
PPU,.270 Win,130,SP,
PPU,.30-06,165,PSP BT,
PPU,.30-06 Sprg,150,SP,
PPU,.308 Win,150,SP,
PPU,.303 British,180,SPBT,
PPU,.375 H&H Mag,300,FMJ RN,
PPU,.300 Win Mag,180,SP,
PPU,7mm Rem Mag,174,SP,
Remington,.22 LR,40,Thunderbolt RN High Velocity,
Remington,.30-30 Win,150,Core-Lokt SP,
Remington,.30-06 Sprg,150,Core-Lokt Tipped,
Remington,.30-06 Sprg,180,Core-Lokt SP,
Remington,.308 Win,150,Core-Lokt,
Remington,.308 Win,180,Core-Lokt SP,
Remington,.308 Win,180,Core-Lokt Tipped,
Remington,.270 Win,140,Core-Lokt Ultra Bonded PSP,
Remington,7mm Rem Mag,175,Core-Lokt PSP,
Rio,12 Gauge,28,7.5 Shot,
Rio,12 Gauge,32,3X3 Buckshot,
Rio,12 Gauge,32,GameLoad Nr.4,
Rio,12 Gauge,32,RedStar Nr.AAA,
Rio,16 Gauge,28,GameLoad Nr.7,
RWS,.30-06 Sprg,165,KS,
RWS,.308 Win,165,KS,
RWS,.300 Win Mag,180,KS,
Sako,.243 Win,90,Gamehead SPFB,
Sako,.243 Win,100,Gamehead SPFB,
Sako,.270 Win,130,Gamehead SPFB,
Sako,.30-06 Sprg,180,GameHead SPBT,
Sako,.30-06 Sprg,180,Super Hammerhead SP,
Sako,.308 Win,165,Tipped GameKing HPBT,
Sellier & Bellot,.22 Hornet,45,SP,
Sellier & Bellot,.223 Rem,55,FMJ,
Sellier & Bellot,.223 Rem,55,SP,
Sellier & Bellot,.243 Win,100,SP,
Sellier & Bellot,.270 Win,130,SP,
Sellier & Bellot,.270 Win,150,SP,
Sellier & Bellot,.30-06 Sprg,150,SPCE,
Sellier & Bellot,.30-06 Sprg,180,SPCE,
Sellier & Bellot,.308 Win,168,HPBT Match Precision,
Sellier & Bellot,.308 Win,180,SPCE,
Sellier & Bellot,.32 ACP,73,FMJ,
Sellier & Bellot,.32 S&W Long,100,LFN,
Sellier & Bellot,.40 S&W,180,FMJ,
Sellier & Bellot,.45 ACP,230,JHP,
Sellier & Bellot,.45-70 Govt,405,SP,
Sellier & Bellot,.303 British,180,SP,
Sellier & Bellot,.375 H&H Mag,300,SP,
Sellier & Bellot,.300 Win Mag,180,SPCE,
Sellier & Bellot,6.5 Creedmoor,140,FMJ,
Sellier & Bellot,6.5 Creedmoor,140,SP,
Sellier & Bellot,6.5x55 SE,140,SP,
Sellier & Bellot,7x57,140,SP,
Sellier & Bellot,7x57,173,SPCE,
Sellier & Bellot,7x64,140,SP,
Sellier & Bellot,7x64,173,SPCE,
Sellier & Bellot,7mm Rem Mag,173,SPCE,
Sellier & Bellot,7.62x39,124,FMJ,
Sellier & Bellot,9mm Luger,115,JHP,
Sellier & Bellot,10mm Auto,180,JHP,
Sellier & Bellot,.380 Auto,92,FMJ,
Sellier & Bellot,.357 Magnum,158,SP,
Sellier & Bellot,12 Gauge,32,Special Slugs,
Sellier & Bellot,12 Gauge,36,Buck Shot AAA,
Speer,.25 Cal,100,Varmint HP SP,0.356
Speer,6mm,100,Boat Tail SP,0.404
Speer,.30 Cal,165,Hot-Cor,0.404
Speer,.30 Cal,180,Boat-Tail SP,0.480
Speer,.30 Cal,200,Hot-Cor,0.480
Speer,.303 Cal,180,Hot-Cor SPRN,0.375
Speer,.375 Cal,270,Boat Tail SP,0.480
Swift,.30-06 Sprg,200,A-Frame,
Swift,.308 Win,200,A-Frame,
Swift,.300 Win Mag,200,A-Frame,
Winchester,.22 LR,45,Super Suppressed Subsonic Black CPRN,
Winchester,.22 Short,29,Super X,
Winchester,.223 Rem,55,Target & Practice FMJ,
Winchester,.22-250 Rem,55,Super X PSP,
Winchester,.243 Win,100,Power Point SP,
Winchester,.270 Win,150,Power Point SP,
Winchester,.30-30 Win,150,Super X Power Point SP,
Winchester,.30 Carbine,110,Super X HSP,
Winchester,.30-06 Sprg,150,Power Point SP,
Winchester,.308 Win,150,Power-Point,
Winchester,.338 Win Mag,200,Power Point SP,
Winchester,.300 Blackout,150,Power Point JSP,
Winchester,.300 AAC Blackout,200,Super Suppressed Subsonic,
Winchester,7mm-08 Rem,140,Power Point SP,
Winchester,9mm +P,124,Defender BJHP,
Winchester,10mm Auto,180,Defender BJHP
